,accuracy,precision,recall,f1_score,specificity,sensitivity,auc_roc
Basic CNN,0.793939393939394,0.35877862595419846,0.7230769230769231,0.47959183673469385,0.8046511627906977,0.7230769230769231,0.8385688729874777
Hybrid CNN,0.7575757575757576,0.3463687150837989,0.9538461538461539,0.5081967213114754,0.727906976744186,0.9538461538461539,0.9197853309481216
Image CNN,0.9938028169014085,0.9971202303815695,0.9949712643678161,0.996044588277598,0.9895561357702349,0.9949712643678161,0.9993397557096126
